Role,Product,OpCo,Half,value,BaseColour,Present,,
Data & Analytics Manager,Finance & Insurance,Data Collection,Top,4,#fe4365,1,,
Data & Analytics Manager,Finance & Insurance,Data Cleaning,Top,4,#f37251,1,,
Data & Analytics Manager,Finance & Insurance,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Finance & Insurance,Data Integration,Top,4,#dcdb68,1,,
Data & Analytics Manager,Finance & Insurance,Data Storage,Top,4,#add171,1,,
Data & Analytics Manager,Finance & Insurance,Data Mining,Top,4,#7fba88,1,,
Data & Analytics Manager,Finance & Insurance,Data Visualisation,Top,4,#83af9b,1,,
Data & Analytics Manager,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,1,,
Data & Analytics Manager,Finance & Insurance,Blank,Top,2,,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Collection,Top,4,#fe4365,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Cleaning,Top,4,#f37251,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Integration,Top,4,#dcdb68,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Storage,Top,4,#add171,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Mining,Top,4,#7fba88,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Visualisation,Top,4,#83af9b,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Data Analysis,Top,4,#A9CBCF,0,,
Data & Analytics Manager,Fraud & Cybersecurity,Blank,Top,2,,0,,
Data & Analytics Manager,Public Sector,Blank,Top,2,,0,,
Data & Analytics Manager,Public Sector,Data Collection,Top,4,#fe4365,1,,
Data & Analytics Manager,Public Sector,Data Cleaning,Top,4,#f37251,1,,
Data & Analytics Manager,Public Sector,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Public Sector,Data Integration,Top,4,#dcdb68,1,,
Data & Analytics Manager,Public Sector,Data Storage,Top,4,#add171,1,,
Data & Analytics Manager,Public Sector,Data Mining,Top,4,#7fba88,1,,
Data & Analytics Manager,Public Sector,Data Visualisation,Top,4,#83af9b,1,,
Data & Analytics Manager,Public Sector,Data Analysis,Top,4,#A9CBCF,1,,
Data & Analytics Manager,Public Sector,Blank,Top,2,,0,,
Data & Analytics Manager,Life & Chemical Sciences,Blank,Top,2,,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Collection,Top,4,#fe4365,1,,
Data & Analytics Manager,Life & Chemical Sciences,Data Cleaning,Top,4,#f37251,0,,
Data & Analytics Manager,Life & Chemical Sciences,Programming Languages,Top,4,#e7b05d,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Integration,Top,4,#dcdb68,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Storage,Top,4,#add171,1,,
Data & Analytics Manager,Life & Chemical Sciences,Data Mining,Top,4,#7fba88,1,,
Data & Analytics Manager,Life & Chemical Sciences,Data Visualisation,Top,4,#83af9b,0,,
Data & Analytics Manager,Life & Chemical Sciences,Data Analysis,Top,4,#A9CBCF,0,,
Data & Analytics Manager,Life & Chemical Sciences,Blank,Top,2,,0,,
Data & Analytics Manager,BottomBlank,Blank,Bottom,2,,0,,
Data & Analytics Manager,BottomBlank,BottomBlank,Bottom,32,#fcfcfc,0,,
Data & Analytics Manager,BottomBlank,Blank,Bottom,2,,0,,
Data & Analytics Manager,IT and Tech,Blank,Bottom,2,,0,,
Data & Analytics Manager,IT and Tech,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,IT and Tech,Data Cleaning,Bottom,4,#f37251,1,,
Data & Analytics Manager,IT and Tech,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,IT and Tech,Data Integration,Bottom,4,#dcdb68,1,,
Data & Analytics Manager,IT and Tech,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,IT and Tech,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,IT and Tech,Data Visualisation,Bottom,4,#83af9b,1,,
Data & Analytics Manager,IT and Tech,Data Analysis,Bottom,4,#A9CBCF,1,,
Data & Analytics Manager,IT and Tech,Blank,Bottom,2,,0,,
Data & Analytics Manager,Manufacturing,Blank,Bottom,2,,0,,
Data & Analytics Manager,Manufacturing,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,Manufacturing,Data Cleaning,Bottom,4,#f37251,0,,
Data & Analytics Manager,Manufacturing,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,Manufacturing,Data Integration,Bottom,4,#dcdb68,0,,
Data & Analytics Manager,Manufacturing,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,Manufacturing,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,Manufacturing,Data Visualisation,Bottom,4,#83af9b,0,,
Data & Analytics Manager,Manufacturing,Data Analysis,Bottom,4,#A9CBCF,0,,
Data & Analytics Manager,Manufacturing,Blank,Bottom,2,,0,,
Data & Analytics Manager,Retail/eCommerce,Blank,Bottom,2,,0,,
Data & Analytics Manager,Retail/eCommerce,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,Retail/eCommerce,Data Cleaning,Bottom,4,#f37251,1,,
Data & Analytics Manager,Retail/eCommerce,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,Retail/eCommerce,Data Integration,Bottom,4,#dcdb68,0,,
Data & Analytics Manager,Retail/eCommerce,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,Retail/eCommerce,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,Retail/eCommerce,Data Visualisation,Bottom,4,#83af9b,1,,
Data & Analytics Manager,Retail/eCommerce,Data Analysis,Bottom,4,#A9CBCF,1,,
Data & Analytics Manager,Retail/eCommerce,Blank,Bottom,2,,0,,
Data & Analytics Manager,Healthcare / Medical,Blank,Bottom,2,,0,,
Data & Analytics Manager,Healthcare / Medical,Data Collection,Bottom,4,#fe4365,1,,
Data & Analytics Manager,Healthcare / Medical,Data Cleaning,Bottom,4,#f37251,1,,
Data & Analytics Manager,Healthcare / Medical,Programming Languages,Bottom,4,#e7b05d,0,,
Data & Analytics Manager,Healthcare / Medical,Data Integration,Bottom,4,#dcdb68,1,,
Data & Analytics Manager,Healthcare / Medical,Data Storage,Bottom,4,#add171,1,,
Data & Analytics Manager,Healthcare / Medical,Data Mining,Bottom,4,#7fba88,1,,
Data & Analytics Manager,Healthcare / Medical,Data Visualisation,Bottom,4,#83af9b,1,,
Data & Analytics Manager,Healthcare / Medical,Data Analysis,Bottom,4,#A9CBCF,1,,
Data & Analytics Manager,Healthcare / Medical,Blank,Bottom,2,,0,,
Business Analyst,TopBlank,Blank,Top,2,,0,,
Business Analyst,TopBlank,TopBlank,Top,32,#fcfcfc,,,
Business Analyst,TopBlank,Blank,Top,2,,0,,
Business Analyst,Finance & Insurance,Blank,Top,2,,0,,
Business Analyst,Finance & Insurance,Data Collection,Top,4,#fe4365,1,,
Business Analyst,Finance & Insurance,Data Cleaning,Top,4,#f37251,0,,
Business Analyst,Finance & Insurance,Programming Languages,Top,4,#e7b05d,,,
Business Analyst,Finance & Insurance,Data Integration,Top,4,#dcdb68,0,,
Business Analyst,Finance & Insurance,Data Storage,Top,4,#add171,0,,
Business Analyst,Finance & Insurance,Data Mining,Top,4,#7fba88,0,,
Business Analyst,Finance & Insurance,Data Visualisation,Top,4,#83af9b,1,,
Business Analyst,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,1,,
Business Analyst,Finance & Insurance,Blank,Top,2,,0,,
Business Analyst,Fraud & Cybersecurity,Blank,Top,2,,0,,
Business Analyst,Fraud & Cybersecurity,Data Collection,Top,4,#fe4365,0,,
Business Analyst,Fraud & Cybersecurity,Data Cleaning,Top,4,#f37251,0,,
Business Analyst,Fraud & Cybersecurity,Programming Languages,Top,4,#e7b05d,0,,
Business Analyst,Fraud & Cybersecurity,Data Integration,Top,4,#dcdb68,0,,
Business Analyst,Fraud & Cybersecurity,Data Storage,Top,4,#add171,0,,
Business Analyst,Fraud & Cybersecurity,Data Mining,Top,4,#7fba88,0,,
Business Analyst,Fraud & Cybersecurity,Data Visualisation,Top,4,#83af9b,0,,
Business Analyst,Fraud & Cybersecurity,Data Analysis,Top,4,#A9CBCF,0,,
Business Analyst,Fraud & Cybersecurity,Blank,Top,2,,0,,
Business Analyst,Public Sector,Blank,Top,2,,0,,
Business Analyst,Public Sector,Data Collection,Top,4,#fe4365,1,,
Business Analyst,Public Sector,Data Cleaning,Top,4,#f37251,0,,
Business Analyst,Public Sector,Programming Languages,Top,4,#e7b05d,0,,
Business Analyst,Public Sector,Data Integration,Top,4,#dcdb68,0,,
Business Analyst,Public Sector,Data Storage,Top,4,#add171,0,,
Business Analyst,Public Sector,Data Mining,Top,4,#7fba88,0,,
Business Analyst,Public Sector,Data Visualisation,Top,4,#83af9b,0,,
Business Analyst,Public Sector,Data Analysis,Top,4,#A9CBCF,1,,
Business Analyst,Public Sector,Blank,Top,2,,0,,
Business Analyst,Life & Chemical Sciences,Blank,Top,2,,0,,
Business Analyst,Life & Chemical Sciences,Data Collection,Top,4,#fe4365,0,,
Business Analyst,Life & Chemical Sciences,Data Cleaning,Top,4,#f37251,0,,
Business Analyst,Life & Chemical Sciences,Programming Languages,Top,4,#e7b05d,0,,
Business Analyst,Life & Chemical Sciences,Data Integration,Top,4,#dcdb68,0,,
Business Analyst,Life & Chemical Sciences,Data Storage,Top,4,#add171,0,,
Business Analyst,Life & Chemical Sciences,Data Mining,Top,4,#7fba88,0,,
Business Analyst,Life & Chemical Sciences,Data Visualisation,Top,4,#83af9b,0,,
Business Analyst,Life & Chemical Sciences,Data Analysis,Top,4,#A9CBCF,1,,
Business Analyst,Life & Chemical Sciences,Blank,Top,2,,0,,
Business Analyst,BottomBlank,Blank,Bottom,2,,0,,
Business Analyst,BottomBlank,BottomBlank,Bottom,32,#fcfcfc,0,,
Business Analyst,BottomBlank,Blank,Bottom,2,,0,,
Business Analyst,IT and Tech,Blank,Bottom,2,,0,,
Business Analyst,IT and Tech,Data Collection,Bottom,4,#fe4365,1,,
Business Analyst,IT and Tech,Data Cleaning,Bottom,4,#f37251,0,,
Business Analyst,IT and Tech,Programming Languages,Bottom,4,#e7b05d,0,,
Business Analyst,IT and Tech,Data Integration,Bottom,4,#dcdb68,0,,
Business Analyst,IT and Tech,Data Storage,Bottom,4,#add171,0,,
Business Analyst,IT and Tech,Data Mining,Bottom,4,#7fba88,0,,
Business Analyst,IT and Tech,Data Visualisation,Bottom,4,#83af9b,1,,
Business Analyst,IT and Tech,Data Analysis,Bottom,4,#A9CBCF,1,,
Business Analyst,IT and Tech,Blank,Bottom,2,,0,,
Business Analyst,Manufacturing,Blank,Bottom,2,,0,,
Business Analyst,Manufacturing,Data Collection,Bottom,4,#fe4365,1,,
Business Analyst,Manufacturing,Data Cleaning,Bottom,4,#f37251,0,,
Business Analyst,Manufacturing,Programming Languages,Bottom,4,#e7b05d,0,,
Business Analyst,Manufacturing,Data Integration,Bottom,4,#dcdb68,0,,
Business Analyst,Manufacturing,Data Storage,Bottom,4,#add171,0,,
Business Analyst,Manufacturing,Data Mining,Bottom,4,#7fba88,0,,
Business Analyst,Manufacturing,Data Visualisation,Bottom,4,#83af9b,0,,
Business Analyst,Manufacturing,Data Analysis,Bottom,4,#A9CBCF,0,,
Business Analyst,Manufacturing,Blank,Bottom,2,,0,,
Business Analyst,Retail/eCommerce,Blank,Bottom,2,,0,,
Business Analyst,Retail/eCommerce,Data Collection,Bottom,4,#fe4365,1,,
Business Analyst,Retail/eCommerce,Data Cleaning,Bottom,4,#f37251,0,,
Business Analyst,Retail/eCommerce,Programming Languages,Bottom,4,#e7b05d,0,,
Business Analyst,Retail/eCommerce,Data Integration,Bottom,4,#dcdb68,0,,
Business Analyst,Retail/eCommerce,Data Storage,Bottom,4,#add171,0,,
Business Analyst,Retail/eCommerce,Data Mining,Bottom,4,#7fba88,0,,
Business Analyst,Retail/eCommerce,Data Visualisation,Bottom,4,#83af9b,1,,
Business Analyst,Retail/eCommerce,Data Analysis,Bottom,4,#A9CBCF,1,,
Business Analyst,Retail/eCommerce,Blank,Bottom,2,,0,,
Business Analyst,Healthcare / Medical,Blank,Bottom,2,,0,,
Business Analyst,Healthcare / Medical,Data Collection,Bottom,4,#fe4365,1,,
Business Analyst,Healthcare / Medical,Data Cleaning,Bottom,4,#f37251,0,,
Business Analyst,Healthcare / Medical,Programming Languages,Bottom,4,#e7b05d,0,,
Business Analyst,Healthcare / Medical,Data Integration,Bottom,4,#dcdb68,0,,
Business Analyst,Healthcare / Medical,Data Storage,Bottom,4,#add171,0,,
Business Analyst,Healthcare / Medical,Data Mining,Bottom,4,#7fba88,0,,
Business Analyst,Healthcare / Medical,Data Visualisation,Bottom,4,#83af9b,1,,
Business Analyst,Healthcare / Medical,Data Analysis,Bottom,4,#A9CBCF,1,,
Business Analyst,Healthcare / Medical,Blank,Bottom,2,,0,,
DB Administrator,TopBlank,Blank,Top,2,,0,,
DB Administrator,TopBlank,TopBlank,Top,32,#fcfcfc,,,
DB Administrator,TopBlank,Blank,Top,2,,0,,
DB Administrator,Finance & Insurance,Blank,Top,2,,0,,
DB Administrator,Finance & Insurance,Data Collection,Top,4,#fe4365,0,,
DB Administrator,Finance & Insurance,Data Cleaning,Top,4,#f37251,1,,
DB Administrator,Finance & Insurance,Programming Languages,Top,4,#e7b05d,0,,
DB Administrator,Finance & Insurance,Data Integration,Top,4,#dcdb68,1,,
DB Administrator,Finance & Insurance,Data Storage,Top,4,#add171,1,,
DB Administrator,Finance & Insurance,Data Mining,Top,4,#7fba88,1,,
DB Administrator,Finance & Insurance,Data Visualisation,Top,4,#83af9b,0,,
DB Administrator,Finance & Insurance,Data Analysis,Top,4,#A9CBCF,0,,
DB Administrator,Finance & Insurance,Blank,Top,2,,0,,
DB Administrator,Fraud & Cybersecurity,Blank,Top,2,,0,,
DB Administrator,Fraud & Cybersecurity,Data Collection,Top,4,#fe4365,0,,
DB Administrator,Fraud & Cybersecurity,Data Cleaning,Top,4,#f37251,1,,
DB Administrator,Fraud & Cybersecurity,Programming Languages,Top,4,#e7b05d,0,,
DB Administrator,Fraud & Cybersecurity,Data Integration,Top,4,#dcdb68,1,,
DB Administrator,Fraud & Cybersecurity,Data Storage,Top,4,#add171,1,,
DB Administrator,Fraud & Cybersecurity,Data Mining,Top,4,#7fba88,1,,
DB Administrator,Fraud & Cybersecurity,Data Visualisation,Top,4,#83af9b,0,,
DB Administrator,Fraud & Cybersecurity,Data Analysis,Top,4,#A9CBCF,0,,
DB Administrator,Fraud & Cybersecurity,Blank,Top,2,,0,,
DB Administrator,Public Sector,Blank,Top,2,,0,,
DB Administrator,Public Sector,Data Collection,Top,4,#fe4365,0,,
DB Administrator,Public Sector,Data Cleaning,Top,4,#f37251,1,,
DB Administrator,Public Sector,Programming Languages,Top,4,#e7b05d,0,,
DB Administrator,Public Sector,Data Integration,Top,4,#dcdb68,1,,
DB Administrator,Public Sector,Data Storage,Top,4,#add171,1,,
DB Administrator,Public Sector,Data Mining,Top,4,#7fba88,1,,
DB Administrator,Public Sector,Data Visualisation,Top,4,#83af9b,0,,
DB Administrator,Public Sector,Data Analysis,Top,4,#A9CBCF,0,,
DB Administrator,Public Sector,Blank,Top,2,,0,,
DB Administrator,Life & Chemical Sciences,Blank,Top,2,,0,,
DB Administrator,Life & Chemical Sciences,Data Collection,Top,4,#fe4365,0,,
DB Administrator,Life & Chemical Sciences,Data Cleaning,Top,4,#f37251,0,,
DB Administrator,Life & Chemical Sciences,Programming Languages,Top,4,#e7b05d,0,,
DB Administrator,Life & Chemical Sciences,Data Integration,Top,4,#dcdb68,0,,
DB Administrator,Life & Chemical Sciences,Data Storage,Top,4,#add171,0,,
DB Administrator,Life & Chemical Sciences,Data Mining,Top,4,#7fba88,0,,
DB Administrator,Life & Chemical Sciences,Data Visualisation,Top,4,#83af9b,0,,
DB Administrator,Life & Chemical Sciences,Data Analysis,Top,4,#A9CBCF,0,,
DB Administrator,Life & Chemical Sciences,Blank,Top,2,,0,,
DB Administrator,BottomBlank,Blank,Bottom,2,,0,,
DB Administrator,BottomBlank,BottomBlank,Bottom,32,#fcfcfc,0,,
DB Administrator,BottomBlank,Blank,Bottom,2,,0,,
DB Administrator,IT and Tech,Blank,Bottom,2,,0,,
DB Administrator,IT and Tech,Data Collection,Bottom,4,#fe4365,0,,
DB Administrator,IT and Tech,Data Cleaning,Bottom,4,#f37251,1,,
DB Administrator,IT and Tech,Programming Languages,Bottom,4,#e7b05d,0,,
DB Administrator,IT and Tech,Data Integration,Bottom,4,#dcdb68,1,,
DB Administrator,IT and Tech,Data Storage,Bottom,4,#add171,1,,
DB Administrator,IT and Tech,Data Mining,Bottom,4,#7fba88,1,,
DB Administrator,IT and Tech,Data Visualisation,Bottom,4,#83af9b,0,,
DB Administrator,IT and Tech,Data Analysis,Bottom,4,#A9CBCF,0,,
DB Administrator,IT and Tech,Blank,Bottom,2,,0,,
DB Administrator,Manufacturing,Blank,Bottom,2,,0,,
DB Administrator,Manufacturing,Data Collection,Bottom,4,#fe4365,0,,
DB Administrator,Manufacturing,Data Cleaning,Bottom,4,#f37251,0,,
DB Administrator,Manufacturing,Programming Languages,Bottom,4,#e7b05d,0,,
DB Administrator,Manufacturing,Data Integration,Bottom,4,#dcdb68,0,,
DB Administrator,Manufacturing,Data Storage,Bottom,4,#add171,0,,
DB Administrator,Manufacturing,Data Mining,Bottom,4,#7fba88,0,,
DB Administrator,Manufacturing,Data Visualisation,Bottom,4,#83af9b,0,,
DB Administrator,Manufacturing,Data Analysis,Bottom,4,#A9CBCF,0,,
DB Administrator,Manufacturing,Blank,Bottom,2,,0,,
DB Administrator,Retail/eCommerce,Blank,Bottom,2,,0,,
DB Administrator,Retail/eCommerce,Data Collection,Bottom,4,#fe4365,0,,
DB Administrator,Retail/eCommerce,Data Cleaning,Bottom,4,#f37251,0,,
DB Administrator,Retail/eCommerce,Programming Languages,Bottom,4,#e7b05d,0,,
DB Administrator,Retail/eCommerce,Data Integration,Bottom,4,#dcdb68,0,,
DB Administrator,Retail/eCommerce,Data Storage,Bottom,4,#add171,0,,
DB Administrator,Retail/eCommerce,Data Mining,Bottom,4,#7fba88,0,,
DB Administrator,Retail/eCommerce,Data Visualisation,Bottom,4,#83af9b,0,,
DB Administrator,Retail/eCommerce,Data Analysis,Bottom,4,#A9CBCF,0,,
DB Administrator,Retail/eCommerce,Blank,Bottom,2,,0,,
DB Administrator,Healthcare / Medical,Blank,Bottom,2,,0,,
DB Administrator,Healthcare / Medical,Data Collection,Bottom,4,#fe4365,0,,
DB Administrator,Healthcare / Medical,Data Cleaning,Bottom,4,#f37251,1,,
DB Administrator,Healthcare / Medical,Programming Languages,Bottom,4,#e7b05d,0,,
DB Administrator,Healthcare / Medical,Data Integration,Bottom,4,#dcdb68,1,,
DB Administrator,Healthcare / Medical,Data Storage,Bottom,4,#add171,1,,
DB Administrator,Healthcare / Medical,Data Mining,Bottom,4,#7fba88,1,,
DB Administrator,Healthcare / Medical,Data Visualisation,Bottom,4,#83af9b,0,,
DB Administrator,Healthcare / Medical,Data Analysis,Bottom,4,#A9CBCF,0,,
DB Administrator,Healthcare / Medical,Blank,Bottom,2,,0,,